path,level,prefLabel,synonym,definition
symptom/digestive system symptom/rectorrhagia,2,rectorrhagia,rectal bleeding,
symptom/digestive system symptom/intestinal hypermotility,2,intestinal hypermotility,,
symptom/digestive system symptom/abnormal bowel sound,2,abnormal bowel sound,,
symptom/digestive system symptom/salivary gland symptom,2,salivary gland symptom,,
symptom/digestive system symptom/salivary gland symptom/salivation,3,salivation,,
symptom/digestive system symptom/salivary gland symptom/salivation/continuous profuse salivation,4,continuous profuse salivation,,
symptom/digestive system symptom/salivary gland symptom/salivation/excess salivation,4,excess salivation,profuse salivation,
symptom/digestive system symptom/salivary gland symptom/acute suppurative parotiditis,3,acute suppurative parotiditis,,
symptom/digestive system symptom/salivary gland symptom/parotid abscess,3,parotid abscess,,
symptom/digestive system symptom/necrosis of jejunum,2,necrosis of jejunum,,
symptom/digestive system symptom/necrosis of jejunum/ischemic necrosis of jejunum,3,ischemic necrosis of jejunum,,
symptom/digestive system symptom/belching,2,belching,eructation,Belching is a digestive system symptom involving the sudden expulsion of gas from the stomach through the mouth.
symptom/digestive system symptom/diminished gastro-intestinal motility,2,diminished gastro-intestinal motility,,
symptom/digestive system symptom/gastroenteritis,2,gastroenteritis,,doid/symp duplicate
symptom/digestive system symptom/gastroenteritis/hemorrhagic gastroenteritis,3,hemorrhagic gastroenteritis,haemorrhagic gastroenteritis,
symptom/digestive system symptom/gastroenteritis/acute gastroenteritis,3,acute gastroenteritis,,
symptom/digestive system symptom/lesions in pancreas,2,lesions in pancreas,,
symptom/digestive system symptom/distended loops of intestines on rectal,2,distended loops of intestines on rectal,,
symptom/digestive system symptom/pyrosis,2,pyrosis,acid indigestion|heartburn,From synonym: Heartburn is a pain characterized by a painful burning feeling in your chest or throat that happens when stomach acid backs up into your esophagus.
symptom/digestive system symptom/bloating,2,bloating,,Bloating is a digestive system symptom involving the accumulation of gas in the digestive tract and resulting in abdominal distension.
symptom/digestive system symptom/dyspepsia,2,dyspepsia,indigestion,"Dyspepsia is a digestive system symptom referred to as indigestion resulting from an impairment to digestion caused by ulcer, gall bladder disease or inflamed colon. Related symptoms include weakness, loss of appetite, and depression.|doid/symp duplicate"
symptom/cardiovascular system symptom,1,cardiovascular system symptom,,
symptom/cardiovascular system symptom/endocarditis,2,endocarditis,,doid/symp duplicate
symptom/cardiovascular system symptom/shock,2,shock,,"A cardiovascular system symptom that is characterized as a state of profound depression of the vital processes of the body that is characterized by pallor, rapid but weak pulse, rapid and shallow respiration, reduced total blood volume, and low blood pressure and that is caused usually by severe especially crushing injuries, hemorrhage, burns, or major surgery."
symptom/cardiovascular system symptom/shock/cardiogenic shock,3,cardiogenic shock,,
symptom/cardiovascular system symptom/shock/septic shock,3,septic shock,,
symptom/cardiovascular system symptom/undiagnosed cardiac murmur,2,undiagnosed cardiac murmur,,
symptom/cardiovascular system symptom/blood vessel infection,2,blood vessel infection,,
symptom/cardiovascular system symptom/hemorrhage,2,hemorrhage,,A cardiovascular system symptom that is characterized by an acute loss of blood from a damaged blood vessel.
symptom/cardiovascular system symptom/hemorrhage/intracranial hemorrhage,3,intracranial hemorrhage,,A hemorrhage that is characterized by any bleeding occurring within the skull.
symptom/cardiovascular system symptom/hemorrhage/intracerebral hemorrhage,3,intracerebral hemorrhage,,A hemorrhage that is characterized by bleeding within the brain tissue itself.
symptom/cardiovascular system symptom/hemorrhage/subdural hemorrhage,3,subdural hemorrhage,subdural hematoma,A hemorrhage that is characterized by bleeding that occurs within the skull of head but outside the actual brain tissue.
symptom/cardiovascular system symptom/palpitation,2,palpitation,abnormal heart beats,"Palpitation is a cardiovascykar system symptom characterized by an abnormal awareness of the beating of the heart,whether it is too slow, too fast, irregular, or at its normal frequency when excited by violent exertion, strong emotion, or disease."
symptom/cardiovascular system symptom/myocarditis,2,myocarditis,,doid/symp duplicate
symptom/cardiovascular system symptom/heart failure,2,heart failure,,
symptom/cardiovascular system symptom/hypergammaglobulinemia,2,hypergammaglobulinemia,,
symptom/cardiovascular system symptom/vascular alteration,2,vascular alteration,,
symptom/cardiovascular system symptom/gangrene,2,gangrene,,
symptom/cardiovascular system symptom/chest hyperemia,2,chest hyperemia,,Hyperemia of the chest is a cardiovascular system symptom consisting of an excess of blood in the tissues of the chest as from an increased flow of blood due to vasodilation.
symptom/cardiovascular system symptom/lesions in myocardium,2,lesions in myocardium,,
symptom/cardiovascular system symptom/pericardial effusion,2,pericardial effusion,,Pericardial effusion is a cardiovascular system symptom where there is an abnormal accumulation of fluid in the pericardial cavity.|doid/symp duplicate
symptom/cardiovascular system symptom/postphlebitic ulcer,2,postphlebitic ulcer,,
symptom/cardiovascular system symptom/phlebitis,2,phlebitis,inflammation of a vein,doid/symp duplicate
symptom/cardiovascular system symptom/arrhythmia,2,arrhythmia,fluctuation of heart rate|irregular heartbeat|dysrhythmia|abnormal heart beat|heart rhythm symptom|abnormal heart rhythm,Arrhythmia is a cardiovascular system symptom consisting of an alteration in rhythm of the heartbeat either in time or force.
symptom/cardiovascular system symptom/arrhythmia/cardiac fibrillation,3,cardiac fibrillation,,"An arrhythmia characterized by rapid, irregular, and unsynchronized contraction of muscle fibers within the heart."
symptom/cardiovascular system symptom/arrhythmia/cardiac fibrillation/ventricular fibrillation,4,ventricular fibrillation,v-fib,"A cardiac fibrillation associated with quivering of the lower chambers of the heart, preventing blood from being pumped and causing cardiac arrest."
